win_start,win_end,center_index,window_date,D,D_stderr,beta_hac,beta_hac_stderr,De_hac_TL_AR,De_hac_TL_AR_stderr,De_hac_Student,De_hac_Student_stderr,DELTA D,DELTA BETA,DELTA D_E,Lag D-1,LagD-2,LagD-3,LagD-4,lagB-1,Lagb-2,Lagb-3,Lagb-4,correl,dummy,serei specifica
0,1200,600,1898-10-11T00:00:00,0.60622868,0.01700822,0.978274913,0.275209363,0.185452931,0.085539497,0.167535508,0.069356343,-0.017018398,0.031477704,0.646671228,,,,,,,,,0.583018149,0,
250,1450,850,1899-10-13T00:00:00,0.595911639,0.0175436,1.610897152,0.45408095,0.218010582,0.101737966,0.19509743,0.090643191,-0.06568209,-0.33826834,-0.488110802,-0.017018398,,,,0.031477704,,,,0.419702721,0,
500,1700,1100,1900-10-12T00:00:00,0.556770917,0.011609156,0.82460085,0.28219088,0.206656883,0.095995921,0.190793665,0.084879014,-0.062171231,-0.233464559,-0.032172781,-0.06568209,-0.017018398,,,-0.33826834,0.031477704,,,0.043942081,0,
750,1950,1350,1901-10-16T00:00:00,0.522155784,0.008898829,0.798071148,0.193595426,0.151782875,0.057771194,0.145742381,0.045244349,0.01103817,-0.087764239,-0.122868223,-0.062171231,-0.06568209,-0.017018398,,-0.233464559,-0.33826834,0.031477704,,-0.188740678,0,
1000,2200,1600,1902-10-14T00:00:00,0.527919428,0.00811783,0.700013564,0.188561205,0.161172325,0.065621884,0.155521277,0.053712079,0.057164277,0.131743454,0.300049307,0.01103817,-0.062171231,-0.06568209,-0.017018398,-0.087764239,-0.233464559,-0.33826834,0.031477704,-0.178909188,0,
1250,2450,1850,1903-10-12T00:00:00,0.558097561,0.009187301,0.910052149,0.176461275,0.131330214,0.035666661,0.130037164,0.029036285,0.010686477,-0.037829411,-0.127346107,0.057164277,0.01103817,-0.062171231,-0.06568209,0.131743454,-0.087764239,-0.233464559,-0.33826834,-0.320967619,0,
1500,2700,2100,1904-10-10T00:00:00,0.564061657,0.008839751,0.79416055,0.13399782,0.120601211,0.021987207,0.125658439,0.023500612,0.017909961,-0.051330304,0.40066809,0.010686477,0.057164277,0.01103817,-0.062171231,-0.037829411,0.131743454,-0.087764239,-0.233464559,-0.089800541,0,
1750,2950,2350,1905-10-09T00:00:00,0.57416398,0.008386004,1.112355341,0.275267936,0.172175809,0.077116582,0.154245587,0.058158315,0.025449533,-0.177664669,-0.326172475,0.017909961,0.010686477,0.057164277,0.01103817,-0.051330304,-0.037829411,0.131743454,-0.087764239,-0.008061772,0,
2000,3200,2600,1906-10-05T00:00:00,0.588776185,0.006896107,0.749535647,0.292108148,0.220240025,0.101019301,0.206631452,0.092930081,-0.035875254,-0.347947121,-0.686682015,0.025449533,0.017909961,0.010686477,0.057164277,-0.177664669,-0.051330304,-0.037829411,0.131743454,0.08768157,0,
2250,3450,2850,1907-10-03T00:00:00,0.56765369,0.004496627,0.234842998,0.178001445,0.262543536,0.105359925,0.273086266,0.101719041,-0.008710539,0.28328953,2.00699321,-0.035875254,0.025449533,0.017909961,0.010686477,-0.347947121,-0.177664669,-0.051330304,-0.037829411,0.008879788,1,0.979836835
2500,3700,3100,1908-09-28T00:00:00,0.56270912,0.005770474,0.706171302,0.330356486,0.239136629,0.106237367,0.228483065,0.101545242,-0.014239622,0.44218965,-0.623753991,-0.008710539,-0.035875254,0.025449533,0.017909961,0.28328953,-0.347947121,-0.177664669,-0.051330304,0.042838114,1,0.022425798
2750,3950,3350,1909-09-27T00:00:00,0.554696355,0.008322118,0.265694134,0.185645673,0.256592964,0.105251652,0.265052169,0.101764185,-0.015313339,0.979836835,-0.070780824,-0.014239622,-0.008710539,-0.035875254,0.025449533,0.44218965,0.28328953,-0.347947121,-0.177664669,0.155662176,1,0.093449451
3000,4200,3600,1910-09-22T00:00:00,0.546202101,0.016476435,0.246888084,0.593080249,0.287110373,0.109735327,0.288186595,0.109195356,0.004871251,0.022425798,-2.315075379,-0.015313339,-0.014239622,-0.008710539,-0.035875254,0.979836835,0.44218965,0.28328953,-0.347947121,0.655811416,1,-0.385356374
3250,4450,3850,1911-09-22T00:00:00,0.548862789,0.016845932,-0.324676441,0.335837049,0.322446446,0.102509997,0.334115708,0.098744274,0.007746272,0.093449451,-3.241876949,0.004871251,-0.015313339,-0.014239622,-0.008710539,0.022425798,0.979836835,0.44218965,0.28328953,0.662054953,0,
3500,4700,4100,1912-09-23T00:00:00,0.553114429,0.018420175,0.727884628,0.237481008,0.192664451,0.088485007,0.179981808,0.076226167,0.013301133,-0.385356374,-0.668460511,0.007746272,0.004871251,-0.015313339,-0.014239622,0.093449451,0.022425798,0.979836835,0.44218965,0.373961089,0,
3750,4950,4350,1913-09-19T00:00:00,0.560471477,0.011321843,0.241322498,0.137081103,0.243031526,0.099402568,0.258709043,0.095372015,-0.041029485,-0.260742797,0.529186506,0.013301133,0.007746272,0.004871251,-0.015313339,-0.385356374,0.093449451,0.022425798,0.979836835,0.4351435,0,
4000,5200,4600,1915-02-01T00:00:00,0.537475622,0.008369754,0.369027107,0.225695307,0.24781103,0.105757233,0.248983796,0.102348289,0.031212208,0.190031477,0.953631538,-0.041029485,0.013301133,0.007746272,0.004871251,-0.260742797,-0.385356374,0.093449451,0.022425798,0.367516062,0,
4250,5450,4850,1916-01-28T00:00:00,0.554251423,0.009960271,0.720942995,0.183122224,0.154152015,0.059306384,0.149812657,0.048123273,0.007541397,0.08291801,0.346072556,0.031212208,-0.041029485,0.013301133,0.007746272,0.190031477,-0.260742797,-0.385356374,0.093449451,0.358123261,0,
4500,5700,5100,1917-01-26T00:00:00,0.558431253,0.010786157,0.97044158,0.236618442,0.161662177,0.068161464,0.148613836,0.050937793,-0.030563351,-0.189740711,-0.205424043,0.007541397,0.031212208,-0.041029485,0.013301133,0.08291801,0.190031477,-0.260742797,-0.385356374,0.350720855,0,
4750,5950,5350,1918-01-30T00:00:00,0.541363723,0.008739584,0.771089547,0.230355738,0.181583388,0.082027979,0.168975275,0.06806251,0.027863412,0.183578124,0.321735874,-0.030563351,0.007541397,0.031212208,-0.041029485,-0.189740711,0.08291801,0.190031477,-0.260742797,0.257089894,0,
5000,6200,5600,1919-02-04T00:00:00,0.556447963,0.01034398,1.019176716,0.260003941,0.171747667,0.076462627,0.155342796,0.05847533,-0.012028792,-0.327295837,-0.541188126,0.027863412,-0.030563351,0.007541397,0.031212208,0.183578124,-0.189740711,0.08291801,0.190031477,0.296316996,0,
5250,6450,5850,1920-02-06T00:00:00,0.549754566,0.006958439,0.467610379,0.06273572,0.118891231,0.017194011,0.140250793,0.029621475,-0.012384536,-0.270995151,0.693841904,-0.012028792,0.027863412,-0.030563351,0.007541397,-0.327295837,0.183578124,-0.189740711,0.08291801,0.0263528,0,
5500,6700,6100,1921-02-03T00:00:00,0.542946111,0.005072735,0.792058054,0.271202543,0.204582932,0.094921765,0.18947066,0.083698086,-0.012008515,-0.20763687,-0.103378502,-0.012384536,-0.012028792,0.027863412,-0.030563351,-0.270995151,-0.327295837,0.183578124,-0.189740711,0.248373856,0,
5750,6950,6350,1922-02-03T00:00:00,0.536426135,0.004019449,0.710176279,0.145108434,0.131330142,0.033854872,0.135226749,0.031841655,0.007878163,1.559331142,0.508062823,-0.012008515,-0.012384536,-0.012028792,0.027863412,-0.20763687,-0.270995151,-0.327295837,0.183578124,0.097051118,0,
6000,7200,6600,1923-02-05T00:00:00,0.540652187,0.0102871,1.070990445,0.202508687,0.133403635,0.039142842,0.128683005,0.028847153,-0.00717967,0.511665898,-0.405690289,0.007878163,-0.012008515,-0.012384536,-0.012028792,1.559331142,-0.20763687,-0.270995151,-0.327295837,-0.132038115,0,
6250,7450,6850,1924-02-07T00:00:00,0.536770483,0.015550658,0.636500022,0.485463564,0.269723804,0.110168113,0.265449111,0.109158584,0.002951644,-0.009215288,1.297166425,-0.00717967,0.007878163,-0.012008515,-0.012384536,0.511665898,1.559331142,-0.20763687,-0.270995151,-0.066243695,0,
6500,7700,7100,1925-02-06T00:00:00,0.538354838,0.015407354,1.462146479,0.374423602,0.196735327,0.092795876,0.172674612,0.075998612,0.0102908,-0.193640635,-0.394351302,0.002951644,-0.00717967,0.007878163,-0.012008515,-0.009215288,0.511665898,1.559331142,-0.20763687,-0.440650644,0,
6750,7950,7350,1926-02-04T00:00:00,0.54389494,0.012423864,0.885547111,0.223385987,0.162052641,0.068010254,0.150659852,0.052083925,0.000693181,-0.20413327,0.465841782,0.0102908,0.002951644,-0.00717967,0.007878163,-0.193640635,-0.009215288,0.511665898,1.559331142,-0.440663718,0,
7000,8200,7600,1927-02-02T00:00:00,0.544271957,0.00988774,1.298071956,0.2129637,0.126477702,0.03128626,0.12210352,0.022657066,-0.009935823,0.443487441,0.45716031,0.000693181,0.0102908,0.002951644,-0.00717967,-0.20413327,-0.193640635,-0.009215288,0.511665898,-0.42026015,0,
7250,8450,7850,1928-01-28T00:00:00,0.538864167,0.014272829,1.891498934,0.302691896,0.138718697,0.047623117,0.125723031,0.028377717,-0.000703669,-0.641828606,-0.232689065,-0.009935823,0.000693181,0.0102908,0.002951644,0.443487441,-0.20413327,-0.193640635,-0.009215288,-0.495707266,0,
7500,8700,8100,1928-12-04T00:00:00,0.538484986,0.005112119,1.451367815,0.173783388,0.111370888,0.013245943,0.111305187,0.01230327,0.010744004,-0.673157753,0.026853258,-0.000703669,-0.009935823,0.000693181,0.0102908,-0.641828606,0.443487441,-0.20413327,-0.193640635,-0.513175956,1,-0.088240736
7750,8950,8350,1929-10-05T00:00:00,0.544270471,0.001670856,1.490341769,0.135397878,0.104109341,0.006322493,0.10637194,0.006917837,0.0204654,1.129732803,-0.526842791,0.010744004,-0.000703669,-0.009935823,0.000693181,-0.673157753,-0.641828606,0.443487441,-0.20413327,-0.519655517,1,0.377369558
8000,9200,8600,1930-08-16T00:00:00,0.555409184,0.003558478,0.705165952,0.031560234,0.102304353,0.004030188,0.114696832,0.013508539,0.019802178,-0.088240736,1.06879505,0.0204654,0.010744004,-0.000703669,-0.009935823,1.129732803,-0.673157753,-0.641828606,0.443487441,-0.635879287,1,-0.445253314
