win_start,win_end,center_index,window_date,window_start_date,window_end_date,D,D_stderr,D_ci_low,D_ci_high,beta_acf,beta_acf_stderr,beta_acf_ci_low,beta_acf_ci_high,beta_acf_r2,De_acf_TL_JOINT,De_acf_TL_JOINT_stderr,De_acf_TL_AR,De_acf_TL_AR_stderr,De_acf_Student,De_acf_Student_stderr,beta_hac,beta_hac_stderr,beta_hac_r2,De_hac_TL_JOINT,De_hac_TL_JOINT_stderr,De_hac_TL_AR,De_hac_TL_AR_stderr,De_hac_Student,De_hac_Student_stderr,beta_dfa,beta_dfa_stderr,beta_dfa_ci_low,beta_dfa_ci_high,beta_dfa_H,beta_dfa_r2,De_dfa_TL_JOINT,De_dfa_TL_JOINT_stderr,De_dfa_TL_AR,De_dfa_TL_AR_stderr,De_dfa_Student,De_dfa_Student_stderr,beta_bayes,beta_bayes_stderr,De_bayes_TL_JOINT,De_bayes_TL_JOINT_stderr,De_bayes_TL_AR,De_bayes_TL_AR_stderr,De_bayes_Student,De_bayes_Student_stderr,beta_whittle,beta_whittle_stderr,beta_whittle_m,De_whittle_TL_JOINT,De_whittle_TL_JOINT_stderr,De_whittle_TL_AR,De_whittle_TL_AR_stderr,De_whittle_Student,De_whittle_Student_stderr,,epsilon
0,125,62,1896-08-21T00:00:00,1896-05-27T00:00:00,1896-11-19T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
22,147,84,1896-09-23T00:00:00,1896-06-26T00:00:00,1896-12-22T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
44,169,106,1896-10-23T00:00:00,1896-07-28T00:00:00,1897-01-25T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
66,191,128,1896-11-25T00:00:00,1896-08-27T00:00:00,1897-02-26T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
88,213,150,1896-12-29T00:00:00,1896-09-29T00:00:00,1897-03-30T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
110,235,172,1897-01-29T00:00:00,1896-10-29T00:00:00,1897-05-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
132,257,194,1897-03-04T00:00:00,1896-12-02T00:00:00,1897-06-03T00:00:00,,,,,2.2239554155316927,,,,0.20391023654639062,0.1114579934685335,,0.12100361696802922,,0.12291452518393309,,2.0226699765452807,0.952433871,0.16480817355519883,0.266617615,0.1108052933715505,0.26942624711432706,0.11102328622317943,0.2615503053727074,0.11062775114386306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021003617
154,279,216,1897-04-05T00:00:00,1897-01-05T00:00:00,1897-07-06T00:00:00,,,,,-0.961970233,,,,,0.4742726944845765,,0.46090468968766546,,0.4742699940795765,,-0.915645266,0.27573721671574764,0.19701020884099563,0.37800347,0.079172823,0.3714139197523426,0.082540618,0.38153866083841176,0.078601835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01909531
176,301,238,1897-05-07T00:00:00,1897-02-04T00:00:00,1897-08-05T00:00:00,,,,,-0.791312669,,,,,0.47427044110465877,,0.46090468968898457,,0.47427006702205526,,-0.9419983,0.3659284652333796,0.3511200784533749,0.35394798869835625,0.091700154,0.34771721525541877,0.094259087,0.35974653423228464,0.08939743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01909531
198,323,260,1897-06-09T00:00:00,1897-03-10T00:00:00,1897-09-07T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nan
220,345,282,1897-07-12T00:00:00,1897-04-09T00:00:00,1897-10-07T00:00:00,,,,,0.9934472773464803,0.7459423794225302,0.10138714715381927,3.152116590212935,0.268699012,0.27323066945397656,0.11072608282663315,0.27500991993002344,0.11087327337261149,0.27046474532789155,0.11059591569991609,0.962584669,0.35022382931515084,0.2778058978243384,0.21564832139429344,0.099539515,0.22247590883816515,0.10260044156932613,0.20411183140652442,0.094287915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17500992
242,367,304,1897-08-11T00:00:00,1897-05-13T00:00:00,1897-11-09T00:00:00,,,,,0.6541565141551361,0.547449355,0.10968454708165713,1.957489670746674,0.19658479434029397,0.271640962,0.11036897935806184,0.27327870635840024,0.1106277379069709,0.2695880940879985,0.11000978380119256,0.6244034506043556,0.15418432359012071,0.2037091184404055,0.14574464789211367,0.0461508,0.14651951098580343,0.049672287,0.14729219339960184,0.043528874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173278706
264,389,326,1897-09-13T00:00:00,1897-06-15T00:00:00,1897-12-10T00:00:00,,,,,0.049335821622814226,0.6176379880694632,0.027644876780123867,2.157215851769194,0.001475479,0.2930203642968141,0.10936833043082966,0.29217003,0.10958358699830367,0.2949833774615629,0.108821647,0.054294995,0.24079021181868593,0.001925304,0.30597437075377387,0.10478974650281371,0.3018176026066342,0.10610681241351645,0.31341538439850425,0.10227140692937144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.057455139
286,411,348,1897-10-13T00:00:00,1897-07-16T00:00:00,1898-01-11T00:00:00,,,,,0.043293679012239995,0.5398324075012711,0.037291152,1.8957161062704018,0.000444237,0.2941283920407113,0.10907245343770508,0.29300892776962567,0.10935713287047777,0.2966451307273782,0.10836156796668614,0.24331040121805653,0.501348161,0.013866490396933107,0.28637197755294186,0.10970907886548871,0.2860657996269824,0.10995312646314985,0.28780210381698845,0.10913845767514702,,,,,,,,,,,,,0.6447762999178539,0.4585091713411892,0.26419775871378265,0.10983617922535194,0.2664446514440046,0.11030269518595508,0.2613930684791479,0.10917463306724295,,,,,,,,,,,-0.074794222
308,433,370,1897-11-15T00:00:00,1897-08-17T00:00:00,1898-02-10T00:00:00,,,,,0.5324143518805058,0.634718347,0.11588156910600393,2.576116247,0.079655121,0.27982239228949213,0.11041739726928415,0.2806120198821786,0.11055737523096304,0.2790816375222147,0.11018436493052361,0.5230762633728216,0.28455588052237557,0.079118954,0.24059686271710884,0.10516415413675097,0.2437435125558764,0.10667483132613093,0.23803914830056327,0.10309165817689837,,,,,,,,,,,,,0.6969601284373753,0.4226169642446352,0.2561287541157806,0.10905379157128593,0.2591686170335067,0.10977656338237983,0.252020583,0.10802291544480379,,,,,,,,,,,0.18061202
330,455,392,1897-12-16T00:00:00,1897-09-17T00:00:00,1898-03-15T00:00:00,,,,,0.013442973779563848,0.7660183069524116,0.030734749354440125,2.3916265609575635,4.7168524566765235e-05,0.2926348962583437,0.10960357640849516,0.29199307236255045,0.10975117027367023,0.29408518369720704,0.10922063133847605,0.10248267104534263,0.258551077,0.002997321,0.2975591347896827,0.106413731,0.29437546,0.10743397231032402,0.30413841244804424,0.10428398609557961,,,,,,,,,,,,,0.47297431050454736,0.35561993534306247,0.2626913082057637,0.10901415030065194,0.2644022778562096,0.10966221087282792,0.26169385763408426,0.10801983688124979,,,,,,,,,,,-0.14778589
352,477,414,1898-01-17T00:00:00,1897-10-19T00:00:00,1898-04-14T00:00:00,,,,,-0.485695636,,,,,0.474270212,,0.4609046907376275,,0.46663494845512865,,-0.501875201,0.25146864745828307,0.18484578934521034,0.3627254601623401,0.086834558,0.3560441456422471,0.089909922,0.36808148438048893,0.084853075,,,,,,,,,,,,,0.14875532360823926,0.12988928522485338,0.2885613227181959,0.099807799,0.28159727232441006,0.10217000668473455,0.30054473562599315,0.096452508,,,,,,,,,,,-0.019095309
374,499,436,1898-02-16T00:00:00,1897-11-19T00:00:00,1898-05-17T00:00:00,,,,,0.3340541393432444,0.7782412681847093,0.028221303847158152,2.631226457659351,0.012111247006006742,0.2868610044115427,0.11017228344561218,0.2869365700883214,0.1102653740684494,0.28714163990333086,0.10996077784293412,0.25056648395935316,0.7195716307239735,0.008000452,0.28808310196515086,0.11000918850428051,0.2879539550975315,0.11012878,0.288769518,0.10972100711664926,,,,,,,,,,,,,0.6402155827282859,0.45292024437432415,0.2638068352649654,0.10978875363794414,0.2660746789896048,0.11026981907409576,0.2609954833401484,0.1091047806030831,,,,,,,,,,,0.18693657
396,521,458,1898-03-21T00:00:00,1897-12-22T00:00:00,1898-06-17T00:00:00,,,,,-0.188554932,,,,,0.47427135972887074,,0.4609050570612664,,0.4666332805646195,,-0.157786434,0.5716504361525646,0.006075846,0.29998275678674546,0.10835920298120785,0.29825807867351517,0.10871989765208667,0.3032461585557281,0.10748842252394372,,,,,,,,,,,,,0.4106914496061933,0.3336403520778472,0.2653510636868047,0.10890781605723218,0.2665181101184315,0.10955365804412662,0.2655341675831444,0.10785708295897903,,,,,,,,,,,-0.019094943
418,543,480,1898-04-20T00:00:00,1898-01-21T00:00:00,1898-07-20T00:00:00,,,,,-1.223290521,,,,,0.4742712944753704,,0.4609046896943492,,0.4780908010955055,,-1.163770382,0.7352017507266222,0.1747466513828203,0.3142147725514458,0.10587620623330603,0.3111441875063224,0.10654073209710115,0.31882257977875633,0.10456083222313231,,,,,,,,,,,,,0.3155399155308475,0.2762986050450945,0.26807646450985234,0.1080984088623504,0.26810799992603096,0.10888908510237644,0.2708345215271643,0.1066968802844883,,,,,,,,,,,-0.01909531
440,565,502,1898-05-23T00:00:00,1898-02-23T00:00:00,1898-08-19T00:00:00,,,,,-0.027694399,,,,,0.4742723240179039,,0.4761806477879616,,0.4609036660312193,,-0.049571634,0.26388908700354297,0.002344895,0.31663755419684825,0.10317803121591825,0.3119750261555074,0.10464635994341964,0.323892654,0.10060062888298807,,,,,,,,,,,,,0.24866883541316828,0.19723214966388938,0.26600310434713914,0.10534020232280407,0.2640324851643905,0.10660862869222093,0.27303887928250503,0.10315972088741727,,,,,,,,,,,-0.003819352
462,587,524,1898-06-23T00:00:00,1898-03-25T00:00:00,1898-09-21T00:00:00,,,,,-0.158812954,,,,,0.4742711515521943,,0.46472343606076466,,0.4494466927689861,,-0.115254388,0.36534174571529576,0.005656447,0.30978173873596715,0.10580791727285457,0.3064328380640216,0.1066938499349544,0.3154608550306112,0.1039942602159572,,,,,,,,,,,,,0.2997172594762556,0.2441394050366498,0.2649989829886754,0.10715601617116752,0.2646528095113004,0.10812910434758129,0.26890900253332484,0.10548873887828872,,,,,,,,,,,-0.015276564
484,609,546,1898-07-26T00:00:00,1898-04-26T00:00:00,1898-10-21T00:00:00,,,,,0.6461923906311768,0.462346986,0.062274916,1.4989203344710313,0.19840129315227517,0.26455344676507153,0.10987169667217886,0.26677445481470236,0.11032651786758074,0.26177595392234476,0.1092275185844817,0.7419004680946591,0.37278511984404006,0.27377218399628844,0.24258175805767784,0.10682001882590299,0.24682677575950335,0.10813816486445821,0.23648826099697495,0.10485595542930694,,,,,,,,,,,,,0.7833372888456752,0.3690876999320507,0.23805030639592417,0.10592163803520248,0.2427746537383684,0.10747383655485625,0.23098397852110378,0.10355100024997557,,,,,,,,,,,0.166774455
506,631,568,1898-08-25T00:00:00,1898-05-27T00:00:00,1898-11-23T00:00:00,,,,,0.10881624082031383,0.5992659219107886,0.066127356,2.0751952667938265,0.006367423,0.2914598219847472,0.10950428317165492,0.29076559910352046,0.10971194290342519,0.29322415399150975,0.10898123605282069,0.18557889497861058,0.26638314228487814,0.017690728,0.285709439,0.10766794368421805,0.2837571712267041,0.10848529815296665,0.2910699205033244,0.10592247136327029,,,,,,,,,,,,,0.4231920436775819,0.30951411224839187,0.2599374563300195,0.10823532107428799,0.26140723245685304,0.1090499955751669,0.2599385181599493,0.10698499054261526,,,,,,,,,,,0.026926992
